Statistics,Machine learning,Deep Learning,R language,Python language,,NLP,Data Engineering
statisticalmodels,linear regression,neural network,r,python,,nlp,aws
statisticalmodeling,logistic regression,keras,ggplot,flask,,natural language processing,ec2
probability,K means,theano,shiny,django,,topic modeling,amazon redshift
normal distribution,random forest,face detection,cran,pandas,,Ida,s3
poisson distribution,xgboost,neural networks,dplyr,numpy,,named entity recognition,docker
survival models,svm,convolutional neuralnetwork (cnn),tidyr,scikitlearn,,pos tagging,kubemetes
hypothesis testing,naive bayes,recurrent neural network(RNN),lubridate,sklearn,,word2vec,scala
bayesian inference,pca,object detection,knitr,matplotlib,,word embedding,teradata
factor analysis,decision trees,yolo,,scipy,,lsi,google big query
forecasting,svd,gpu,,bokeh,,spacy,aws lambda
markov chain,ensemble models,cuda,,statsmodel,,gensIm,aws emr
monte carlo,boltzman machine,tensorflow,,,,nltk,hive
,,lstm,,,,nmf,hadoop
,,gan,,,,doc2vec,sql
,,opencv,,,,cbow,
,,,,,,bag of words,
,,,,,,skipgram,
,,,,,,bert,
,,,,,,sentiment analysis,
,,,,,,chat bot,
1,,,,,,,